mean_score,max_score,steps
19.8,32.0,407771
17.9,25.0,408555
18.9,25.0,409591
18.1,25.0,410366
17.4,23.0,411363
16.0,23.0,411924
15.7,22.0,412850
16.8,28.0,414111
16.0,28.0,414837
16.8,28.0,415731
17.3,28.0,416735
19.3,33.0,417887
21.1,40.0,419443
21.7,40.0,420300
22.9,40.0,421760
24.9,40.0,422906
24.4,40.0,423697
24.2,40.0,424912
28.4,53.0,426569
27.8,53.0,427325
28.8,53.0,428397
26.9,53.0,429201
26.4,53.0,430512
26.0,53.0,431341
23.9,53.0,431919
24.0,53.0,433170
24.3,53.0,434034
23.7,53.0,435122
20.5,35.0,436148
21.1,35.0,437051
19.4,35.0,437939
19.9,35.0,438860
17.6,29.0,439683
17.4,29.0,440437
18.9,29.0,441475
17.0,24.0,442032
17.9,27.0,443102
17.6,27.0,443994
18.2,27.0,445163
18.0,27.0,445994
17.9,27.0,446798
17.4,27.0,447712
18.8,27.0,448824
18.8,27.0,449648
18.6,27.0,450604
19.7,27.0,451414
19.0,27.0,452331
19.9,27.0,453291
19.4,26.0,454291
19.1,26.0,455199
21.6,38.0,456557
22.9,38.0,457562
21.9,38.0,458251
22.1,38.0,459187
22.5,38.0,460302
23.0,38.0,461582
23.2,38.0,462790
22.2,38.0,463789
22.4,38.0,464940
22.7,38.0,465772
21.3,27.0,466655
20.3,26.0,467423
19.6,26.0,468035
19.5,26.0,468866
19.0,26.0,469909
17.9,24.0,470639
18.4,27.0,471791
18.7,27.0,472709
19.0,27.0,473877
18.1,27.0,474430
17.1,27.0,475238
17.2,27.0,476164
18.8,27.0,477276
20.1,27.0,478444
20.1,27.0,479458
19.9,27.0,480285
20.4,32.0,481575
20.9,32.0,482618
20.5,32.0,483759
21.3,32.0,484635
21.9,32.0,485418
21.6,32.0,486147
20.2,32.0,486776
19.1,32.0,487706
19.3,32.0,488759
19.3,32.0,489503
18.4,24.0,490646
18.9,29.0,491834
18.7,29.0,492699
18.7,29.0,493619
20.0,33.0,494612
21.4,33.0,495688
22.8,33.0,496751
22.6,33.0,497605
23.3,33.0,498755
24.1,33.0,499749
24.0,33.0,500970
22.7,33.0,501777
22.1,33.0,502703
22.5,33.0,503722
22.0,30.0,504860
21.1,30.0,505849
20.2,30.0,506785
20.9,30.0,507768
19.5,28.0,508680
19.1,28.0,509579
19.1,28.0,510647
21.7,42.0,511856
21.6,42.0,512626
22.4,42.0,513801
21.4,42.0,514631
21.0,42.0,515570
21.2,42.0,516417
21.0,42.0,517495
22.2,42.0,518496
22.3,42.0,519382
22.5,42.0,520382
21.8,35.0,521749
23.7,35.0,522970
23.7,35.0,524404
23.5,35.0,525366
24.6,35.0,526559
24.7,35.0,527482
24.5,35.0,528498
23.4,35.0,529418
23.6,35.0,530372
22.8,35.0,531347
22.4,33.0,532666
22.2,31.0,533775
21.5,31.0,534929
21.9,31.0,535764
21.9,31.0,536923
21.9,31.0,537769
22.4,31.0,538531
22.2,31.0,539375
22.9,31.0,540519
23.8,31.0,541753
22.7,31.0,542712
22.5,29.0,543996
21.8,29.0,544811
21.7,29.0,545770
21.3,29.0,546897
22.2,29.0,548001
22.6,29.0,549174
23.3,29.0,550212
22.2,29.0,551118
22.4,29.0,552435
21.5,29.0,553148
20.7,28.0,554010
21.7,28.0,555244
22.5,28.0,556340
22.1,28.0,557418
21.8,27.0,558484
22.0,28.0,559786
23.0,32.0,560782
23.5,32.0,561614
23.3,32.0,562600
23.9,32.0,563574
23.0,32.0,564317
22.0,32.0,565140
21.7,32.0,566029
21.4,32.0,566808
20.0,32.0,567518
19.6,32.0,568603
18.3,25.0,569597
17.7,25.0,570540
17.1,24.0,571135
19.6,42.0,572687
21.3,42.0,573651
22.9,42.0,574858
21.7,42.0,575586
22.0,42.0,576459
23.6,42.0,577580
22.7,42.0,578457
24.3,42.0,579852
24.7,42.0,580594
26.2,42.0,581726
24.3,35.0,582812
23.6,35.0,583907
23.9,35.0,585226
26.2,35.0,586617
27.4,35.0,587852
25.6,35.0,588417
27.4,35.0,589648
26.3,35.0,590791
26.8,35.0,591827
25.4,35.0,592903
24.4,35.0,593734
24.1,35.0,594694
23.7,35.0,595851
22.8,33.0,596956
21.7,33.0,597996
23.4,33.0,599105
22.7,29.0,600117
22.9,29.0,601244
23.0,29.0,602228
23.2,29.0,603145
23.4,29.0,603863
23.7,29.0,604900
24.4,36.0,606276
22.9,36.0,607009
22.8,36.0,608069
23.2,36.0,609354
22.3,36.0,610327
21.2,36.0,611144
21.6,36.0,612441
22.4,36.0,613668
23.1,36.0,614650
27.0,61.0,616592
26.1,61.0,617885
27.1,61.0,618944
27.4,61.0,620128
27.4,61.0,621382
26.8,61.0,622100
28.0,61.0,623167
28.0,61.0,624537
26.9,61.0,625586
26.0,61.0,626343
23.0,31.0,627548
21.9,31.0,628461
22.8,31.0,629598
22.5,31.0,630630
20.6,31.0,631318
22.5,31.0,632418
23.2,34.0,633795
22.3,34.0,634799
25.6,52.0,636608
26.1,52.0,637695
24.9,52.0,638658
24.4,52.0,639404
22.9,52.0,640310
24.4,52.0,641595
25.3,52.0,642736
24.4,52.0,643580
22.9,52.0,644610
23.6,52.0,645329
20.1,34.0,646289
20.4,34.0,647304
20.9,34.0,648336
23.9,41.0,649694
26.2,41.0,651137
24.3,41.0,652017
25.6,41.0,653289
25.4,41.0,654246
28.1,46.0,655950
27.5,46.0,657058
27.8,46.0,658081
28.0,46.0,659246
29.7,46.0,660831
27.5,46.0,661829
26.2,46.0,662887
28.4,46.0,664428
26.8,46.0,665196
27.5,46.0,666538
25.2,41.0,667764
26.9,41.0,669165
27.1,41.0,670175
27.7,41.0,671116
25.8,38.0,672299
25.9,38.0,673341
26.2,38.0,674442
24.2,38.0,675414
26.0,38.0,676918
26.4,38.0,678047
27.1,38.0,679074
24.4,35.0,679795
23.5,35.0,680547
22.5,35.0,681694
23.0,35.0,682842
23.0,35.0,683928
22.6,35.0,685102
22.4,35.0,685962
21.4,30.0,686974
20.9,30.0,688054
20.0,27.0,689096
23.5,46.0,690639
23.7,46.0,691415
24.4,46.0,692531
24.9,46.0,693679
24.7,46.0,694855
23.7,46.0,695673
23.9,46.0,696630
23.1,46.0,697625
22.8,46.0,698687
23.6,46.0,699926
20.8,32.0,700810
23.6,43.0,702347
22.4,43.0,703154
23.1,43.0,704584
25.7,44.0,706081
27.8,44.0,707312
28.1,44.0,708365
28.0,44.0,709286
28.9,44.0,710360
27.6,44.0,711336
27.9,44.0,712330
28.0,44.0,713887
29.4,44.0,715027
27.2,44.0,716038
25.2,44.0,717207
24.5,44.0,718397
25.8,44.0,719799
27.8,44.0,720982
28.0,44.0,722330
27.8,44.0,723103
28.7,44.0,724346
27.5,36.0,725665
27.8,36.0,726839
29.3,36.0,728107
28.7,36.0,729104
28.2,36.0,730107
27.3,36.0,731162
26.8,33.0,732332
25.5,32.0,733470
26.9,32.0,734571
25.2,32.0,735344
24.7,32.0,736606
24.1,32.0,737863
23.6,31.0,738895
24.5,31.0,740169
24.2,31.0,741230
24.5,31.0,742362
22.9,28.0,743173
22.8,28.0,744038
23.1,31.0,745155
24.0,31.0,746205
23.6,31.0,747415
23.6,31.0,748589
24.5,36.0,749823
23.8,36.0,750953
23.4,36.0,751691
24.1,36.0,753170
24.2,36.0,754067
23.9,36.0,755000
23.1,36.0,756235
23.0,36.0,757254
24.5,38.0,758792
23.9,38.0,759658
22.5,38.0,760801
22.3,38.0,761823
22.7,38.0,762761
20.7,38.0,763545
